[23-Dec-2018 04:30:51 Europe/Moscow] PHP Notice:  Undefined index: general_responsible_id in C:\Apache24\htdocs\bt24\functions.php on line 105
[23-Dec-2018 09:46:57 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 135
[23-Dec-2018 09:48:57 Europe/Moscow] PHP Notice:  Undefined index: general_responsible_id in C:\Apache24\htdocs\bt24\functions.php on line 105
[23-Dec-2018 14:18:19 Europe/Moscow] PHP Notice:  Undefined index: general_responsible_id in C:\Apache24\htdocs\bt24\functions.php on line 105
[23-Dec-2018 16:15:04 Europe/Moscow] PHP Notice:  Undefined index: general_responsible_id in C:\Apache24\htdocs\bt24\functions.php on line 105
[23-Dec-2018 16:15:04 Europe/Moscow] PHP Notice:  Undefined property: stdClass::$result in C:\Apache24\htdocs\bt24\functions.php on line 112
[24-Dec-2018 12:18:55 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 138
[24-Dec-2018 13:27:09 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 138
[24-Dec-2018 15:58:58 Europe/Moscow] PHP Notice:  Undefined index: email in C:\Apache24\htdocs\bt24\script.php on line 33
[24-Dec-2018 19:20:58 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 138
[24-Dec-2018 19:28:36 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 138
[24-Dec-2018 19:35:28 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 138
[25-Dec-2018 10:11:33 Europe/Moscow] PHP Notice:  Undefined variable: interest in C:\Apache24\htdocs\bt24\parse.php on line 138
[25-Dec-2018 10:59:44 Europe/Moscow] PHP Notice:  Undefined index: email in C:\Apache24\htdocs\bt24\script.php on line 33
[25-Dec-2018 10:59:48 Europe/Moscow] PHP Notice:  Undefined index: email in C:\Apache24\htdocs\bt24\functions.php on line 192
[25-Dec-2018 11:44:18 Europe/Moscow] PHP Notice:  Undefined index: email in C:\Apache24\htdocs\bt24\script.php on line 33
[25-Dec-2018 11:47:16 Europe/Moscow] PHP Notice:  Undefined property: stdClass::$EMAIL in C:\Apache24\htdocs\bt24\functions.php on line 176
[25-Dec-2018 13:31:18 Europe/Moscow] PHP Notice:  Undefined index: email in C:\Apache24\htdocs\bt24\script.php on line 33
